id,ident,name,lat,lon,country,municipality
221,CZL,Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,Algeria,Constantine
222,TEE,Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967,Algeria,Tebessa
224,HRM,Hassi R'Mel Airport,32.93040084838867,3.311539888381958,Algeria,Tilrempt
225,TID,Bou Chekif Airport,35.3410987854,1.46315002441,Algeria,Tiaret
226,\N,Bou Sfer Airport,35.73540115356445,-0.8053889870643616,Algeria,Bou Sfer
227,TIN,Tindouf Airport,27.7003993988,-8.167099952700001,Algeria,Tindouf
228,CFK,Ech Cheliff Airport,36.2126998901,1.33176994324,Algeria,Ech-cheliff
229,TAF,Tafaraoui Airport,35.54240036010742,-0.5322780013084412,Algeria,Oran
230,TLM,Zenata – Messali El Hadj Airport,35.0167007446,-1.45000004768,Algeria,Tlemcen
231,ORN,Es Senia Airport,35.6239013672,-0.6211829781529999,Algeria,Oran
232,BFW,Sidi Bel Abbes Airport,35.1717987061,-0.593275010586,Algeria,Sidi Bel Abbes
233,MUW,Ghriss Airport,35.207698822021484,0.14714199304580688,Algeria,Ghriss
234,AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,27.837600708007812,-0.18641400337219238,Algeria,Adrar
235,BSK,Biskra Airport,34.793300628699996,5.73823022842,Algeria,Biskra
236,ELG,El Golea Airport,30.571300506591797,2.8595900535583496,Algeria,El Golea
237,GHA,Noumérat - Moufdi Zakaria Airport,32.38410186767578,3.794110059738159,Algeria,Ghardaia
238,HME,Oued Irara Airport,31.673000335699996,6.140439987180001,Algeria,Hassi Messaoud
239,INZ,In Salah Airport,27.250999450699997,2.51202011108,Algeria,In Salah
240,TGR,Touggourt Sidi Madhi Airport,33.06779861450195,6.088669776916504,Algeria,Touggourt
241,LOO,Laghouat Airport,33.764400482199996,2.92833995819,Algeria,Laghouat
242,TMX,Timimoun Airport,29.2371006012,0.276033014059,Algeria,Timimoun
243,OGX,Ain el Beida Airport,31.917200088500977,5.412779808044434,Algeria,Ouargla
244,IAM,In Aménas Airport,28.0515,9.64291,Algeria,Zarzaitine
245,COO,Cadjehoun Airport,6.357230186462402,2.384350061416626,Benin,Cotonou
246,OUA,Ouagadougou Airport,12.3532,-1.51242,Burkina Faso,Ouagadougou
247,BOY,Bobo Dioulasso Airport,11.160099983215332,-4.33096981048584,Burkina Faso,Bobo-dioulasso
248,ACC,Kotoka International Airport,5.605189800262451,-0.16678600013256073,Ghana,Accra
249,TML,Tamale Airport,9.55718994140625,-0.8632140159606934,Ghana,Tamale
250,\N,Wa Airport,10.0826997756958,-2.507689952850342,Ghana,Wa
251,NYI,Sunyani Airport,7.361830234527588,-2.3287599086761475,Ghana,Sunyani
252,TKD,Takoradi Airport,4.896059989929199,-1.7747600078582764,Ghana,Takoradi
253,ABJ,Port Bouet Airport,5.261390209197998,-3.9262900352478027,Cote d'Ivoire,Abidjan
254,BYK,Bouaké Airport,7.738800048828125,-5.073669910430908,Cote d'Ivoire,Bouake
255,DJO,Daloa Airport,6.792809963226318,-6.473189830780029,Cote d'Ivoire,Daloa
256,HGO,Korhogo Airport,9.38718032837,-5.55666017532,Cote d'Ivoire,Korhogo
257,MJC,Man Airport,7.272069931030273,-7.58735990524292,Cote d'Ivoire,Man
258,SPY,San Pedro Airport,4.746719837188721,-6.660820007324219,Cote d'Ivoire,San Pedro
259,ASK,Yamoussoukro Airport,6.9031701088,-5.36558008194,Cote d'Ivoire,Yamoussoukro
260,ABV,Nnamdi Azikiwe International Airport,9.006790161132812,7.263169765472412,Nigeria,Abuja
261,AKR,Akure Airport,7.246739864349365,5.3010101318359375,Nigeria,Akure
262,BNI,Benin Airport,6.316979885101318,5.5995001792907715,Nigeria,Benin
263,CBQ,Margaret Ekpo International Airport,4.976019859313965,8.347200393676758,Nigeria,Calabar
264,ENU,Akanu Ibiam International Airport,6.474269866943359,7.561960220336914,Nigeria,Enugu
265,\N,Gusau Airport,12.1717,6.69611,Nigeria,Gusau
266,IBA,Ibadan Airport,7.362460136413574,3.97832989692688,Nigeria,Ibadan
267,ILR,Ilorin International Airport,8.440210342407227,4.493919849395752,Nigeria,Ilorin
268,JOS,Yakubu Gowon Airport,9.639829635620117,8.869050025939941,Nigeria,Jos
269,KAD,Kaduna Airport,10.696000099182129,7.320109844207764,Nigeria,Kaduna
270,KAN,Mallam Aminu International Airport,12.0476,8.52462,Nigeria,Kano
271,MIU,Maiduguri International Airport,11.855299949645996,13.080900192260742,Nigeria,Maiduguri
272,MDI,Makurdi Airport,7.70388,8.61394,Nigeria,Makurdi
273,LOS,Murtala Muhammed International Airport,6.5773701667785645,3.321160078048706,Nigeria,Lagos
274,MXJ,Minna Airport,9.652170181274414,6.462259769439697,Nigeria,Minna
275,PHC,Port Harcourt International Airport,5.0154900550842285,6.94959020614624,Nigeria,Port Hartcourt
276,SKO,Sadiq Abubakar III International Airport,12.916299819946289,5.207190036773682,Nigeria,Sokoto
277,YOL,Yola Airport,9.257550239562988,12.430399894714355,Nigeria,Yola
278,ZAR,Zaria Airport,11.1302,7.68581,Nigeria,Zaria
279,MFQ,Maradi Airport,13.5024995803833,7.1267499923706055,Niger,Maradi
280,NIM,Diori Hamani International Airport,13.4815,2.18361,Niger,Niamey
281,THZ,Tahoua Airport,14.875699996948242,5.265359878540039,Niger,Tahoua
282,AJY,Mano Dayak International Airport,16.965999603271484,8.000109672546387,Niger,Agadez
283,\N,Dirkou Airport,18.968700408935547,12.86870002746582,Niger,Dirkou
284,\N,Diffa Airport,13.372900009155273,12.626700401306152,Niger,Diffa
285,ZND,Zinder Airport,13.779000282287598,8.983759880065918,Niger,Zinder
286,MIR,Monastir Habib Bourguiba International Airport,35.75809860229492,10.75469970703125,Tunisia,Monastir
287,TUN,Tunis Carthage International Airport,36.85100173950195,10.22719955444336,Tunisia,Tunis
288,\N,Sidi Ahmed Air Base,37.245398,9.79145,Tunisia,Bizerte
289,\N,Remada Air Base,32.30619812011719,10.382100105285645,Tunisia,Remada
290,GAF,Gafsa Ksar International Airport,34.422000885009766,8.822500228881836,Tunisia,Gafsa
291,GAE,Gabès Matmata International Airport,33.87689971923828,10.103300094604492,Tunisia,Gabes
292,\N,Borj El Amri Airport,36.72129821777344,9.94314956665039,Tunisia,Bordj El Amri
293,DJE,Djerba Zarzis International Airport,33.875,10.775500297546387,Tunisia,Djerba
294,EBM,El Borma Airport,31.704299926757812,9.254619598388672,Tunisia,El Borma
295,SFA,Sfax Thyna International Airport,34.71799850463867,10.690999984741211,Tunisia,Sfax
296,TOE,Tozeur Nefta International Airport,33.939701080322266,8.110560417175293,Tunisia,Tozeur
297,LRL,Niamtougou International Airport,9.767330169677734,1.091249942779541,Togo,Niatougou
298,LFW,Lomé-Tokoin Airport,6.165609836578369,1.2545100450515747,Togo,Lome
299,ANR,Antwerp International Airport (Deurne),51.1893997192,4.46027994156,Belgium,Antwerp
300,\N,Beauvechain Air Base,50.75859832763672,4.768330097198486,Belgium,Beauvechain
301,\N,Kleine Brogel Air Base,51.168301,5.47,Belgium,Kleine Brogel
302,BRU,Brussels Airport,50.901401519800004,4.48443984985,Belgium,Brussels
303,\N,Jehonville Air Base,49.891700744628906,5.2238898277282715,Belgium,Bertrix
304,CRL,Brussels South Charleroi Airport,50.459202,4.45382,Belgium,Charleroi
305,\N,Chièvres Air Base,50.575801849365234,3.8310000896453857,Belgium,Chievres
306,\N,Koksijde Air Base,51.090301513671875,2.652780055999756,Belgium,Koksijde
307,\N,Florennes Air Base,50.2433013916,4.64583015442,Belgium,Florennes
308,KJK,Wevelgem Airport,50.817199707,3.20472002029,Belgium,Kortrijk-vevelgem
309,LGG,Liège Airport,50.63740158081055,5.443220138549805,Belgium,Liege
310,OST,Ostend-Bruges International Airport,51.198898315399994,2.8622200489,Belgium,Ostend
311,\N,Zutendaal Air Base,50.9474983215332,5.590559959411621,Belgium,Zutendaal
312,\N,Brustem Airfield Sint Truiden,50.791901,5.20167,Belgium,Sint-truiden
313,\N,Saint Hubert Air Base,50.034400939941406,5.440810203552246,Belgium,St.-hubert
314,\N,Ursel Air Base,51.14419937133789,3.475559949874878,Belgium,Ursel
315,\N,Weelde Air Base,51.394798278808594,4.9601898193359375,Belgium,Weelde
316,OBL,Zoersel (Oostmalle) Airfield,51.264702,4.75333,Belgium,Zoersel
317,\N,Flugplatz Bautzen,51.193611,14.519722,Germany,Bautzen
318,AOC,Altenburg-Nobitz Airport,50.981945,12.506389,Germany,Altenburg
319,\N,Dessau Airfield,51.831694,12.190962,Germany,Dessau
320,\N,Eisenhüttenstadt Airfield,52.195856,14.58753,Germany,Eisenhuettenstadt
322,\N,Großenhain Airport,51.30805587768555,13.555556297302246,Germany,Suhl
